Repository;Date;Line Count
trial-css-filter;2018-04;0
.;2018-04;119392
trial-css-filter;2018-05;0
.;2018-05;119392
trial-css-filter;2018-06;0
.;2018-06;119392
trial-css-filter;2018-07;0
.;2018-07;119392
trial-css-filter;2018-08;0
.;2018-08;119392
trial-css-filter;2018-09;0
.;2018-09;3012
trial-css-filter;2018-10;0
.;2018-10;1294
trial-css-filter;2018-11;0
.;2018-11;22479
trial-css-filter;2019-00;0
.;2019-00;22479
trial-css-filter;2019-01;0
.;2019-01;22479
trial-css-filter;2019-02;0
.;2019-02;22479
trial-css-filter;2019-03;0
.;2019-03;22479
trial-css-filter;2019-04;0
.;2019-04;22494
trial-css-filter;2019-05;0
.;2019-05;22494
trial-css-filter;2019-06;0
.;2019-06;22494
trial-css-filter;2019-07;0
.;2019-07;22494
trial-css-filter;2019-08;0
.;2019-08;22494
trial-css-filter;2019-09;0
.;2019-09;22494
trial-css-filter;2019-10;0
.;2019-10;22494
trial-css-filter;2019-11;0
.;2019-11;22494
trial-css-filter;2020-00;0
.;2020-00;22494
trial-css-filter;2020-01;0
.;2020-01;22494
trial-css-filter;2020-02;0
.;2020-02;22494
trial-css-filter;2020-03;0
.;2020-03;22494
trial-css-filter;2020-04;0
.;2020-04;22494
trial-css-filter;2020-05;0
.;2020-05;22494
trial-css-filter;2020-06;0
.;2020-06;22494
trial-css-filter;2020-07;0
.;2020-07;22494
trial-css-filter;2020-08;0
.;2020-08;22494
trial-css-filter;2020-09;0
.;2020-09;22494
trial-css-filter;2020-10;0
.;2020-10;22494
trial-css-filter;2020-11;0
.;2020-11;22494
trial-css-filter;2021-00;0
.;2021-00;22494
trial-css-filter;2021-01;0
.;2021-01;22494
trial-css-filter;2021-02;0
.;2021-02;22494
trial-css-filter;2021-03;0
.;2021-03;22494
trial-css-filter;2021-04;0
.;2021-04;22494
trial-css-filter;2021-05;0
.;2021-05;22494
trial-css-filter;2021-06;0
.;2021-06;22494
trial-css-filter;2021-07;0
.;2021-07;22494
trial-css-filter;2021-08;0
.;2021-08;22494
trial-css-filter;2021-09;0
.;2021-09;22494
trial-css-filter;2021-10;0
.;2021-10;22494
trial-css-filter;2021-11;0
.;2021-11;22494
trial-css-filter;2022-00;0
.;2022-00;22494
trial-css-filter;2022-01;231
.;2022-01;5220
trial-css-filter;2022-02;231
.;2022-02;5526
